GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
Lineups,-203484-203526-1628398-1630166-1630264-,K. Caldwell-Pope - R. Neto - K. Kuzma - D. Avdija - A. Gill,1610612764,WAS,5,3,2,0.6,4.5,3.4,8.2,0.415,1.4,3.4,0.412,1.2,1.8,0.667,1.4,3.4,4.8,2.2,1.2,0.6,0.2,0.4,3.0,1.0,9.4,-2.2,1120,956,13953,6953,2073,3009,2118,9093,2313,2422,4895,4739,5415,6306,1979,2200,2048,2665,14280,4677,4979,13146,15975,5027,2901,13761
Lineups,-200768-200782-1628389-1629622-1629639-,K. Lowry - P. Tucker - B. Adebayo - M. Strus - T. Herro,1610612748,MIA,8,6,2,0.75,4.5,3.4,7.6,0.443,1.5,3.9,0.387,3.8,3.9,0.968,0.9,3.0,3.9,2.1,1.3,0.6,0.1,0.3,2.0,2.6,12.0,0.5,464,288,13953,5984,2055,3026,2628,8408,2006,2166,5340,715,1333,4072,5269,2344,3251,2707,14333,4652,5279,12244,13748,1583,1690,6418
Lineups,-2544-2546-1626169-1628370-1629659-,L. James - C. Anthony - S. Johnson - M. Monk - T. Horton-Tucker,1610612747,LAL,7,2,5,0.286,4.5,3.1,7.7,0.407,1.1,3.3,0.348,1.9,2.0,0.929,0.7,2.7,3.4,2.3,1.3,1.3,0.3,0.3,1.4,2.1,9.3,-0.1,612,1646,16937,9838,2112,3169,2597,9196,2618,2487,5743,3752,2672,4100,5537,3696,3595,2616,14408,1215,4637,12536,12802,1921,2934,9443
Lineups,-201976-1626156-1626157-1630162-1630183-,P. Beverley - D. Russell - K. Towns - A. Edwards - J. McDaniels,1610612750,MIN,17,11,6,0.647,4.5,3.9,8.1,0.482,1.2,3.5,0.339,2.9,3.4,0.86,0.6,2.7,3.4,2.5,1.4,0.9,0.8,0.6,2.5,2.3,11.8,0.9,86,59,17121,6884,2109,2692,2137,7503,2597,2416,5769,1476,1478,4418,5891,3706,3628,2491,14553,4089,2573,14392,15704,1859,1920,6182
Lineups,-201976-1626157-1627752-1630162-1630183-,P. Beverley - K. Towns - T. Prince - A. Edwards - J. McDaniels,1610612750,MIN,6,3,3,0.5,4.5,3.3,8.8,0.377,1.5,3.8,0.391,1.5,2.2,0.692,1.3,3.2,4.5,2.2,2.0,0.8,0.2,1.0,1.8,1.8,9.7,-0.2,822,956,15870,7220,2042,3030,1981,10080,2006,2174,5318,4044,2637,6261,2005,2321,2113,2687,15184,4121,5133,14796,13702,3623,2811,9447
Lineups,-200782-202710-1628389-1629216-1629639-,P. Tucker - J. Butler - B. Adebayo - G. Vincent - T. Herro,1610612748,MIA,9,6,3,0.667,4.5,3.1,6.9,0.452,1.0,2.6,0.391,2.9,3.4,0.839,1.0,2.9,3.9,2.0,1.7,0.4,0.3,0.4,2.7,2.9,10.1,-0.1,376,288,15870,6286,2039,3187,3428,8129,2653,4187,5318,1475,1468,4597,2281,3601,3247,2721,15024,5955,4141,13291,15883,1503,2422,9438
Lineups,-203493-203939-1627827-1628467-1628973-,R. Bullock - D. Powell - D. Finney-Smith - M. Kleber - J. Brunson,1610612742,DAL,9,5,4,0.556,4.5,3.9,8.3,0.467,1.3,4.2,0.316,0.6,0.9,0.625,0.6,3.9,4.4,2.9,1.1,0.3,0.3,0.1,1.7,1.6,9.7,1.3,376,397,16599,7171,2037,2691,2087,7734,2356,1437,7028,7847,8214,6876,6031,1957,2220,2115,14213,6157,4141,11831,13448,3935,2811,4767
Lineups,-203500-1628991-1629630-1629681-1630217-,S. Adams - J. Jackson Jr. - J. Morant - K. Tillie - D. Bane,1610612763,MEM,6,5,1,0.833,4.5,3.2,9.3,0.339,1.0,4.2,0.24,1.0,1.3,0.75,2.2,3.7,5.8,1.7,1.2,0.8,0.7,0.3,1.3,1.0,8.3,-1.8,822,397,5744,5797,2060,3152,1621,10621,2653,1442,8109,4878,6112,5392,688,1999,1343,4823,14248,4121,2663,12606,12555,5027,3603,12140
Lineups,-203501-204001-1627827-1628467-1628973-,T. Hardaway Jr. - K. Porzingis - D. Finney-Smith - M. Kleber - J. Brunson,1610612742,DAL,3,1,2,0.333,4.5,4.0,8.3,0.48,1.3,3.0,0.444,0.7,0.7,1.0,0.7,2.7,3.3,2.7,1.0,0.0,0.3,0.3,1.7,1.0,10.0,1.0,2316,3401,13953,9264,2033,1868,2087,7531,2356,2566,4543,7460,8407,1,5572,3709,3629,2169,10086,7231,4141,12606,13448,5027,2424,4965
Lineups,-203082-1628539-1629021-1629643-1630181-,T. Ross - M. Mulder - M. Wagner - C. Okeke - R. Hampton,1610612753,ORL,3,1,2,0.333,4.5,3.3,6.0,0.556,1.0,3.3,0.3,1.7,2.3,0.714,0.0,2.7,2.7,2.3,2.0,0.3,0.3,0.0,1.7,1.7,9.3,-4.7,2316,3401,13953,9264,2074,3030,3763,4185,2653,2440,7114,3848,2506,6118,8177,3709,5544,2528,15184,6157,4141,1,13448,3732,2911,16034
Lineups,-203082-1628976-1629643-1630175-1630532-,T. Ross - W. Carter Jr. - C. Okeke - C. Anthony - F. Wagner,1610612753,ORL,9,3,6,0.333,4.5,3.1,7.7,0.406,0.6,2.8,0.2,2.0,2.9,0.692,1.2,3.3,4.6,2.0,1.6,0.7,0.1,0.4,1.8,2.1,8.8,-0.8,376,956,17121,9264,2058,3187,2602,9214,6958,3996,8239,1876,2145,6261,2175,2218,2108,2721,14988,4368,5319,13291,13677,1934,3450,10163
Lineups,-203107-203484-204001-1629060-1630166-,T. Satoransky - K. Caldwell-Pope - K. Porzingis - R. Hachimura - D. Avdija,1610612764,WAS,8,5,3,0.625,4.5,3.8,8.5,0.441,0.5,2.3,0.222,1.8,2.0,0.875,0.8,3.8,4.5,2.1,1.1,0.5,0.8,0.5,2.4,1.9,9.8,-0.9,464,397,15870,6907,2038,2724,2020,8418,6975,4705,8153,3793,2672,4289,5408,1980,2113,2707,14219,4802,2574,13325,15677,3607,2802,10207
Lineups,-1626195-1627742-1628404-1628984-1630529-,W. Hernangomez - B. Ingram - J. Hart - D. Graham - H. Jones,1610612740,NOP,10,6,4,0.6,4.5,3.7,9.0,0.411,1.4,3.5,0.4,1.3,1.9,0.684,1.2,3.6,4.8,2.2,1.5,0.7,0.3,0.8,1.2,2.4,10.1,0.1,295,288,16599,6953,2041,2750,1661,9156,2313,2283,4939,4653,5358,6292,2178,2038,2048,2665,14606,4354,4617,14729,12358,1783,2423,6991
Lineups,-203083-1627777-1629003-1629680-1630178-,A. Drummond - G. Niang - S. Milton - M. Thybulle - T. Maxey,1610612755,PHI,5,4,1,0.8,4.4,3.4,7.0,0.486,0.8,2.6,0.308,3.0,3.6,0.833,1.0,3.4,4.4,1.4,0.4,0.8,0.8,0.2,1.8,2.4,10.6,4.2,1120,591,5744,5853,2180,3009,2812,7454,6210,4150,7060,869,1383,4605,2281,2200,2227,5636,7886,4151,2537,12051,13682,1783,2317,1280
Lineups,-201143-203935-1627759-1628401-1629684-,A. Horford - M. Smart - J. Brown - D. White - G. Williams,1610612738,BOS,8,7,1,0.875,4.4,3.8,8.3,0.455,0.9,3.1,0.28,0.9,1.3,0.7,0.5,3.1,3.6,2.1,0.9,0.8,0.3,0.4,2.3,1.8,9.3,-0.4,464,212,5744,5763,2238,2724,2110,7987,6123,2547,7387,7182,6342,6222,6047,2336,3379,2707,10044,4210,4711,13118,15578,3662,2939,9661
Lineups,-2738-201939-203110-203952-1627814-,A. Iguodala - S. Curry - D. Green - A. Wiggins - D. Lee,1610612744,GSW,5,4,1,0.8,4.4,3.0,7.2,0.417,2.0,4.4,0.455,2.2,2.4,0.917,0.2,2.6,2.8,2.6,1.4,1.0,0.4,0.8,1.6,1.8,10.2,1.2,1120,591,5744,5853,2213,3203,2789,8992,813,1394,4469,1828,2477,4128,7987,3820,5469,2239,14564,1313,3997,14729,13391,3631,2415,4911
Lineups,-1628981-1629726-1630227-1630231-1630528-,B. Fernando - G. Mathews - D. Nix - K. Martin Jr. - J. Christopher,1610612745,HOU,4,1,3,0.25,4.4,2.8,7.8,0.355,0.3,2.8,0.091,2.5,4.0,0.625,1.5,3.8,5.3,1.8,1.3,0.8,0.3,0.5,2.3,2.3,8.3,1.3,1571,3401,15870,9877,2172,4743,2588,10527,8716,3999,8984,1571,726,6876,1714,1980,1486,4733,14333,4210,4711,13325,15578,1866,3637,4864
