GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
Lineups,-201950-202324-1627742-1628366-1629627-,J. Holiday - D. Favors - B. Ingram - L. Ball - Z. Williamson,1610612740,NOP,22,10,12,0.455,12.8,13.0,25.5,0.508,3.0,7.6,0.387,4.0,5.8,0.68,3.4,11.5,15.0,8.7,4.7,2.2,1.6,1.8,3.7,5.1,32.8,5.0,42,98,13754,7131,79,65,62,3855,443,241,4284,550,283,5151,139,43,44,40,13709,182,294,13511,13277,118,63,838
Lineups,-1626143-1628402-1628414-1629026-1629638-,J. Okafor - F. Jackson - S. Thornwell - K. Williams - N. Alexander-Walker,1610612740,NOP,1,0,1,0.0,12.8,16.0,23.0,0.696,2.0,5.0,0.4,3.0,3.0,1.0,2.0,3.0,5.0,9.0,4.0,2.0,1.0,1.0,8.0,8.0,37.0,0.0,5956,8348,4331,8348,81,11,99,1548,589,617,3929,687,1226,1,472,1760,1109,25,13578,193,418,11896,13777,14,35,5530
Lineups,-200768-1626178-1626181-1627783-1628384-,K. Lowry - R. Hollis-Jefferson - N. Powell - P. Siakam - O. Anunoby,1610612761,TOR,3,1,2,0.333,12.8,11.3,24.0,0.472,2.7,10.3,0.258,6.0,7.3,0.818,2.7,6.7,9.3,5.7,2.0,3.7,1.0,0.7,5.7,5.3,31.3,1.3,2278,3091,10647,7430,78,94,82,6012,456,64,6037,61,79,3892,370,349,260,234,12118,39,418,11558,13694,108,77,3690
Lineups,-202696-203095-203920-203932-1628365-,N. Vucevic - E. Fournier - K. Birch - A. Gordon - M. Fultz,1610612753,ORL,11,4,7,0.364,12.8,10.5,23.0,0.458,3.0,6.9,0.434,3.0,4.5,0.66,2.1,8.3,10.4,7.0,3.6,2.2,0.6,1.1,3.5,3.9,27.1,-1.8,280,642,13586,7414,82,127,99,6286,207,354,3677,687,489,5645,469,164,190,88,13556,188,2201,13373,13213,467,144,9789
Lineups,-101150-202331-202694-1627826-1629013-,L. Williams - P. George - M. Morris Sr. - I. Zubac - L. Shamet,1610612746,LAC,1,1,0,1.0,12.7,15.0,24.0,0.625,4.0,10.0,0.4,4.0,4.0,1.0,0.0,13.0,13.0,9.0,2.0,3.0,3.0,0.0,7.0,4.0,38.0,16.0,5956,3091,1,1,84,19,82,2336,74,71,3929,287,575,1,6615,15,75,25,12118,48,7,1,13753,279,30,11
Lineups,-204020-1626147-1627789-1629066-1629185-,T. Johnson - J. Anderson - T. Luwawu-Cabarrot - R. Kurucs - C. Chiozza,1610612751,BKN,1,1,0,1.0,12.7,9.0,30.0,0.3,3.0,17.0,0.176,2.0,2.0,1.0,2.0,12.0,14.0,7.0,3.0,4.0,1.0,2.0,6.0,5.0,23.0,-3.0,5956,3091,1,1,84,203,17,9517,207,3,6906,1458,2160,1,472,34,53,88,13241,13,418,13516,13702,121,249,11358
Lineups,-201961-202694-203944-1629011-1629628-,W. Ellington - M. Morris Sr. - J. Randle - M. Robinson - R. Barrett,1610612752,NYK,1,0,1,0.0,12.7,8.0,21.0,0.381,2.0,10.0,0.2,4.0,8.0,0.5,3.0,11.0,14.0,6.0,4.0,0.0,3.0,1.0,5.0,5.0,22.0,-12.0,5956,8348,4331,8348,86,292,148,7972,589,71,6620,287,47,5960,154,47,53,162,13578,5899,7,11896,13592,121,277,13768
Lineups,-202681-203915-1627752-1628386-1629066-,K. Irving - S. Dinwiddie - T. Prince - J. Allen - R. Kurucs,1610612751,BKN,1,0,1,0.0,12.6,9.0,27.0,0.333,8.0,20.0,0.4,4.0,4.0,1.0,1.0,10.0,11.0,7.0,4.0,1.0,1.0,1.0,6.0,5.0,30.0,0.0,5956,8348,4331,8348,90,203,42,8471,4,2,3929,287,575,1,1645,70,136,88,13578,960,418,11896,13702,121,90,5530
Lineups,-200746-201942-1626168-1627749-1627854-,L. Aldridge - D. DeRozan - T. Lyles - D. Murray - B. Forbes,1610612759,SAS,40,17,23,0.425,12.6,11.3,23.3,0.487,2.9,7.1,0.401,3.4,4.2,0.807,2.0,9.2,11.1,6.5,3.2,2.0,1.0,1.1,5.0,3.9,28.9,-0.1,4,20,13794,7236,89,96,97,5793,444,264,3928,638,565,3975,1096,118,135,144,13510,193,418,13376,13591,469,117,7453
Lineups,-203118-203922-203954-1626196-1629003-,M. Scott - G. Robinson III - J. Embiid - J. Richardson - S. Milton,1610612755,PHI,1,1,0,1.0,12.6,13.0,27.0,0.481,3.0,8.0,0.375,6.0,10.0,0.6,6.0,10.0,16.0,8.0,2.0,1.0,0.0,2.0,4.0,8.0,35.0,10.0,5956,3091,1,1,87,49,42,5846,207,188,4341,61,16,5749,8,70,15,51,12118,960,4536,13516,13288,14,47,70
